102|| 2018 | GS-I | 8 | Caste assuming new identities and associational forms | Indian Society | Comment · 10 marks · 150 words | [Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics](Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics.md) | Routed to owning topic |
152|| 2020 | GS-I | 8 | Relevance of caste in understanding multi-cultural Indian society | Indian Society | Elaborate with illustrations · 10 marks · 150 words | [Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics](Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics.md) | Routed to owning topic |
153|| 2020 | GS-I | 9 | COVID-19 pandemic, class inequalities and poverty in India | Indian Society | Comment · 10 marks · 150 words | [Indian-Society/advanced/09_Poverty-and-Developmental-Issues](Indian-Society/advanced/09_Poverty-and-Developmental-Issues.md) | Routed to owning topic |
154|| 2020 | GS-I | 10 | Regionalism as a consequence of rising cultural assertiveness | Indian Society | Argue · 10 marks · 150 words | [Indian-Society/advanced/14_Regionalism](Indian-Society/advanced/14_Regionalism.md) | Routed to owning topic |
162|| 2020 | GS-I | 18 | Diversity and pluralism in India under threat from globalisation | Indian Society | Justify your answer · 15 marks · 250 words | [Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society](Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society.md) | Routed to owning topic |
163|| 2020 | GS-I | 19 | Customs and traditions suppressing reason and obscurantism | Indian Society | Do you agree · 15 marks · 250 words | [Indian-Society/advanced/12_Social-Change-and-Modernisation](Indian-Society/advanced/12_Social-Change-and-Modernisation.md) | Routed to owning topic |
178|| 2021 | GS-I | 9 | Uniqueness of tribal knowledge systems against mainstream systems | Indian Society | Examine · 10 marks · 150 words | [Indian-Society/advanced/03_Tribe-and-Tribal-Society](Indian-Society/advanced/03_Tribe-and-Tribal-Society.md) | Routed to owning topic |
179|| 2021 | GS-I | 10 | Gig economy in the process of empowerment of women | Indian Society | Examine · 10 marks · 150 words | [Indian-Society/advanced/07_Women-and-Womens-Organisations](Indian-Society/advanced/07_Women-and-Womens-Organisations.md) | Routed to owning topic |
187|| 2021 | GS-I | 18 | Objectives of population education and measures for India | Indian Society | Discuss and point out · 15 marks · 250 words | [Indian-Society/advanced/06_Population-and-Associated-Issues](Indian-Society/advanced/06_Population-and-Associated-Issues.md) | Routed to owning topic |
188|| 2021 | GS-I | 19 | Cryptocurrency and its effect on global and Indian society | Indian Society | What is and How does it affect · 15 marks · 250 words | [Economy/advanced/24_Services-Digital-Economy-Fintech-and-Platform-Markets](Economy/advanced/24_Services-Digital-Economy-Fintech-and-Platform-Markets.md) · [Indian-Society/advanced/12_Social-Change-and-Modernisation](Indian-Society/advanced/12_Social-Change-and-Modernisation.md) | Cross-cutting; instrument owner and society effect both linked |
189|| 2021 | GS-I | 20 | Continuity of traditional social values amid social change | Indian Society | Enumerate · 15 marks · 250 words | [Indian-Society/advanced/12_Social-Change-and-Modernisation](Indian-Society/advanced/12_Social-Change-and-Modernisation.md) | Routed to owning topic |
202|| 2022 | GS-I | 8 | Work From Home and its impact on family relationships | Indian Society | Explore and evaluate · 10 marks · 150 words | [Indian-Society/advanced/04_Family-Marriage-and-Kinship](Indian-Society/advanced/04_Family-Marriage-and-Kinship.md) | Routed to owning topic |
203|| 2022 | GS-I | 9 | Tier 2 city growth, new middle class and culture of consumption | Indian Society | How is it related · 10 marks · 150 words | [Indian-Society/advanced/10_Urbanisation-Problems-and-Remedies](Indian-Society/advanced/10_Urbanisation-Problems-and-Remedies.md) | Routed to owning topic |
204|| 2022 | GS-I | 10 | Tribal diversity and treatment as a single category | Indian Society | In which specific contexts · 10 marks · 150 words | [Indian-Society/advanced/03_Tribe-and-Tribal-Society](Indian-Society/advanced/03_Tribe-and-Tribal-Society.md) | Routed to owning topic |
212|| 2022 | GS-I | 18 | Salience of sect in Indian society against caste region and religion | Indian Society | Analyse · 15 marks · 250 words | [Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics](Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics.md) | Routed to owning topic |
213|| 2022 | GS-I | 19 | Tolerance assimilation and pluralism in the Indian form of secularism | Indian Society | Justify your answer · 15 marks · 250 words | [Indian-Society/advanced/15_Secularism](Indian-Society/advanced/15_Secularism.md) | Routed to owning topic |
214|| 2022 | GS-I | 20 | Globalization and new technology in a world of scarce resources | Indian Society | Elucidate · 15 marks · 250 words | [Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society](Indian-Society/advanced/11_Effects-of-Globalisation-on-Indian-Society.md) | Routed to owning topic |
227|| 2023 | GS-I | 8 | Marriage as a sacrament losing value in modern India | Indian Society | Do you think · 10 marks · 150 words | [Indian-Society/advanced/04_Family-Marriage-and-Kinship](Indian-Society/advanced/04_Family-Marriage-and-Kinship.md) | Routed to owning topic |
228|| 2023 | GS-I | 9 | Rising suicide among young women in Indian society | Indian Society | Explain why · 10 marks · 150 words | [Indian-Society/advanced/07_Women-and-Womens-Organisations](Indian-Society/advanced/07_Women-and-Womens-Organisations.md) | Routed to owning topic |
229|| 2023 | GS-I | 10 | Mobile phones replacing child cuddling and socialization of children | Indian Society | Discuss its impact · 10 marks · 150 words | [Indian-Society/advanced/04_Family-Marriage-and-Kinship](Indian-Society/advanced/04_Family-Marriage-and-Kinship.md) | Routed to owning topic |
237|| 2023 | GS-I | 18 | Urbanization and segregation or marginalization of the poor | Indian Society | Does it lead · 15 marks · 250 words | [Indian-Society/advanced/10_Urbanisation-Problems-and-Remedies](Indian-Society/advanced/10_Urbanisation-Problems-and-Remedies.md) | Routed to owning topic |
238|| 2023 | GS-I | 19 | Caste identity in India as both fluid and static | Indian Society | Why · 15 marks · 250 words | [Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics](Indian-Society/advanced/02_Caste-System-Structure-and-Contemporary-Dynamics.md) | Routed to owning topic |
239|| 2023 | GS-I | 20 | Post-liberal economy, ethnic identity and communalism | Indian Society | Discuss the impact · 15 marks · 250 words | [Indian-Society/advanced/13_Communalism](Indian-Society/advanced/13_Communalism.md) | Routed to owning topic |
276|| 2019 | GS-II | 5 | What France can learn from India's approach to secularism | Polity | What can it learn · 10 marks · 150 words | [Polity/basic/Comparative-Constitutional-Schemes](Polity/basic/Comparative-Constitutional-Schemes.md) · [Polity/advanced/07_Fundamental-Rights](Polity/advanced/07_Fundamental-Rights.md) · [Indian-Society/advanced/15_Secularism](Indian-Society/advanced/15_Secularism.md) | Dedicated comparative owner plus constitutional-rights and society support |
